ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
8	0	180.561404	1026.035088	1.052112	101.850455		158.168843	86	1.000000	26.713829	0.430656
8	1	179.890411	1029.232877	0.087158	-153.635853	104.513691	53.721783	86	0.907352	26.713829	0.430656
8	2	179.647887	1029.112676	0.473160	-147.378144	6.257710	47.476041	86	0.626768	26.713829	0.430656
8	3	178.410256	1028.320513	0.132951	103.365024	-109.256833	156.792326	86	0.646175	26.713829	0.430656
8	4	178.314815	1028.722222	0.145783	-162.785777	93.849200	62.952055	86	0.630118	26.713829	0.430656
8	5	177.882353	1028.588235	0.190202	-95.223945	67.561832	-4.587644	86	0.520725	26.713829	0.430656
8	6	177.828571	1028.000000	0.192652	-123.310627	-28.086682	23.496444	86	0.480567	26.713829	0.430656
8	7	177.500000	1027.500000	0.153792	-7.028396	116.282231	-92.772680	86	0.390587	26.713829	0.430656
8	8	177.974026	1027.441558	0.347897	-101.967100	-94.938703	2.139810	86	0.328652	26.713829	0.430656
8	9	177.750000	1026.384615	0.136067	74.113405	176.080505	-173.938476	86	0.309609	26.713829	0.430656
8	10	177.865672	1026.791045	0.159102	-168.307438	117.579156	68.479915	86	0.340417	26.713829	0.430656
8	11	177.381818	1026.690909	0.298524	-48.179829	120.127610	-51.622418	86	0.244806	26.713829	0.430656
8	12	178.000000	1026.000000	0.360007	-116.565048	-68.385219	16.722813	86	0.279024	26.713829	0.430656
8	13	177.500000	1025.000000	0.227688	44.999999	161.565047	-144.824515	86	0.212928	26.713829	0.430656
8	14	178.000000	1025.500000	0.254917	89.999997	44.999999	170.153062	86	0.196794	26.713829	0.430656
8	15	178.000000	1026.291667	0.146235	112.402126	22.402129	147.758381	86	0.208121	26.713829	0.430656
8	16	177.826923	1026.711538	0.337180	150.374752	37.972626	109.799077	86	0.263018	26.713829	0.430656
8	17	176.916667	1027.229167	0.454350	-62.875022	146.750226	-36.896992	86	0.187708	26.713829	0.430656
8	18	177.560000	1025.973333	0.207418	150.383828	-146.741150	109.797542	86	0.214617	26.713829	0.430656
8	19	177.000000	1026.291667	0.038211	20.556045	-129.827783	-120.341331	86	0.206683	26.713829	0.430656
8	20	177.111111	1026.333333	0.044950	-176.143194	163.300761	76.352274	86	0.213144	26.713829	0.430656
8	21	176.971831	1026.323944	0.334918	95.065179	-88.791626	165.151363	86	0.218145	26.713829	0.430656
8	22	176.880000	1027.360000	0.145411	-31.358142	-126.423322	-68.410665	86	0.188790	26.713829	0.430656
8	23	177.265625	1027.125000	0.111627	-128.802914	-97.444771	29.011024	86	0.192560	26.713829	0.430656
8	24	177.048387	1026.854839	0.088420	-95.251113	33.551801	-4.531533	86	0.188341	26.713829	0.430656
8	25	177.023256	1026.581395	0.344146	-113.329549	-18.078436	13.545710	86	0.198494	26.713829	0.430656
8	26	176.600000	1025.600000	0.395826	76.528986	-170.141465	-176.299042	86	0.176137	26.713829	0.430656
8	27	176.886364	1026.795455	0.104523	107.366617	30.837631	152.858963	86	0.181258	26.713829	0.430656
8	28	176.789474	1027.105263	0.204028	24.365179	-83.001438	-124.131458	86	0.155453	26.713829	0.430656
